tax_code;attribute_key;attribute_count;materials;waste_types;units;container_types;intervals;property_types;source;source_text
MB3600RE26;JORD|REST,MAT;3;JORD;REST,MAT;;;;;RULE:Taxa_från_edp:35;Tjänsttaxa underjordsbehållare för restavfall Okänd Restavfall ÅRKV MB3600RE26 | Tjänsttaxa underjordsbehållare för restavfall | ÅRKV | Tjänsttaxa underjordsbehållare för matavfall | 0
MB3200RE26;JORD|REST|KG;3;JORD;REST;KG;;;;RULE:Taxa_från_edp:270;Tjänsttaxa underjordsbehållare för restavfall Okänd Restavfall KVAN MB3200RE26 | Tjänsttaxa underjordsbehållare för restavfall | KVAN | Viktavgift restavfall kr/kg | VIKG
MB3200RE26;JORD|REST|M3;3;JORD;REST;M3;;;;RULE:Taxa_från_edp:271;Tjänsttaxa underjordsbehållare för restavfall Okänd Restavfall KVAN MB3200RE26 | Tjänsttaxa underjordsbehållare för restavfall | KVAN | Tömning Markbehållare 3,2 m³, Restavfall | ANTB
;KG;1;;;KG;;;;RULE:Dokumentation_Taxepunkter:6;E | Enhet | Manuell | Word/bedömning | Anger debiteringsenhet, t.ex. st/år, st/tömning, kg. | Ja
;KG;1;;;KG;;;;RULE:Taxepunkter:235;Hantering av brunnslock som väger 15-25 kg Slam Tillfälle TILLFÄLLE §5.2 | §5.2 | Hantering av brunnslock som väger 15-25 kg |  | kr/tillfälle |  |  |  |  |  |  | 
FOSTÖM1000;KG;1;;;KG;;;;RULE:Taxa_från_edp:92;Tömning och behandling fosforfilter 500-1000 kg Okänd KVAN FOSTÖM1000 | Tömning och behandling fosforfilter 500-1000 kg | KVAN | Tömning och behandling fosforfilter 500-1000 kg | ANTL
FOSTÖM500;KG;1;;;KG;;;;RULE:Taxa_från_edp:93;Tömning och behandling fosforfilter under 500 kg Okänd KVAN FOSTÖM500 | Tömning och behandling fosforfilter under 500 kg | KVAN | Tömning och behandling fosforfilter under 500 kg | ANTL
SLTUNGTLOCK;KG;1;;;KG;;;;RULE:Taxa_från_edp:172;Tillägg lyft av tungt brunnslock över 15 kg Okänd KVAN SLTUNGTLOCK | Tillägg lyft av tungt brunnslock över 15 kg | KVAN | Tillägg lyft av tungt brunnslock över 15 kg | ANTL
;KG,HÄMTNING;2;;;KG,HÄMTNING;;;;RULE:Taxepunkter:211;Filtermassor upp till 500 kg Tilläggstjänst Tillfälle TILLFÄLLE §4.1 | §4.1 | Filtermassor upp till 500 kg | Budad hämtning inom sju (7) arbetsdagar | kr/tillfälle |  |  |  |  |  |  | 
;KG,HÄMTNING;2;;;KG,HÄMTNING;;;;RULE:Taxepunkter:212;Filtermassor 500-1000 kg Tilläggstjänst Tillfälle TILLFÄLLE §4.1 | §4.1 | Filtermassor 500-1000 kg | Budad hämtning inom sju (7) arbetsdagar | kr/tillfälle |  |  |  |  |  |  | 
