Word Tax Coverage Report

KRAV:
Alla taxor som hittas i Word måste finnas som egen rad i Taxepunkter.
Detta gäller oavsett om Taxa_från_edp är tom eller saknar matchning.

Total parser rows: 241
COVERED: 67
REVIEW: 23
MISSING: 151
Passed: False

Details:
- COVERED | section+tax_point | 6.1.2 | Betong, lättbetong | excel_row=259 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 6.1.2 | Gips, gipsskivor | excel_row=260 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 6.1.2 | Tegel | excel_row=261 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 6.1.2 | Fönster- och planglas utan karm | excel_row=262 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 6.1.2 | Fönster med karm | excel_row=263 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 6.1.2 | Plast | excel_row=264 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 6.1.2 | Isolering utan innehåll av asbest | excel_row=265 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 6.1.2 | Klinker, keramik, porslin | excel_row=266 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 6.1.2 | Handfat | excel_row=267 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- MISSING | no Taxepunkter row | 6.1.2 | WC-stol | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- COVERED | section+tax_point | 6.1.2 | Metall | excel_row=269 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 6.1.2 | Textilier | excel_row=270 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 6.1.2 | Fiskeredskap | excel_row=271 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 6.1.2 | Ätbart fett/frityrolja | excel_row=272 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 6.1.2 | Kvistar och grenar | excel_row=273 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 6.1.2 | Jord | excel_row=274 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 6.1.2 | Sten | excel_row=275 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- MISSING | no Taxepunkter row | 6.1.2 | Stubbar/rötter för krossning | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 6.1.2 | Flera fraktioner för egen sortering på ramp (max 2 m³) | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 6.1.2 | Osorterat avfall till sortering (ej innehåll av farligt avfall och elavfall) | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 6.1.2 | Tonerkassetter, utan elektronik/chip | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 6.1.2 | Oljeemulsion, emballerat | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 6.1.2 | Förorenad olja innehållande PCB | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 6.1.2 | Oljeavskiljarslam | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 6.1.2 | Diesel | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 6.1.2 | Bensinrester | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 6.1.2 | Hydralslang, med/utan koppling | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 6.1.2 | Förpackningar, tömde ej rengjorda | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 6.1.2 | Oljeavfall, fast osorterat emba | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
