Taxepunkter Row Build Plan

KRAV:
Alla taxor som hittas i Word/parsern ska finnas som egen rad i Taxepunkter.
EDP-data kompletterar endast raden efteråt.

Parser rows: 241
REUSE: 78
CREATE: 136
REVIEW: 27
Coverage plan valid: True

Details:
- CREATE | word tax missing from Taxepunkter | 6.1.2 | Fiskeredskap | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 6.1.2 | Ätbart fett/frityrolja | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- REVIEW | multiple section+tax_point rows | 6.1.2 | Kvistar och grenar | excel_row=273 tax_code= | 2 befintliga rader delar paragraf+taxapunkt
- CREATE | word tax missing from Taxepunkter | 6.1.2 | Jord | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 6.1.2 | Sten | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 6.1.2 | Stubbar/rötter för krossning | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 6.1.2 | Flera fraktioner för egen sortering på ramp (max 2 m³) | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 6.1.2 | Osorterat avfall till sortering (ej innehåll av farligt avfall och elavfall) | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 6.1.2 | Tonerkassetter, utan elektronik/chip | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 6.1.2 | Oljeemulsion, emballerat | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 6.1.2 | Förorenad olja innehållande PCB | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
